Age,age group,Attrition,Business Travel,Department,Distance From Home,Education,Education Field,Employee Number,Gender,Job Role,Marital Status,Over Time,Over18,Training Times Last Year,attrition yes,Daily Rate,Employee Count,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
24,18-29,No,Travel_Rarely,Sales,10,Master,Marketing,507,Female,Sales Executive,Divorced,Yes,Y,2,0,1371,1,4,77,3,2,High,4260,5915,1,12,3,4,80,1,5,4,5,2,0,3
30,30 - 39,No,Travel_Rarely,Sales,2,Below College,Technical Degree,508,Male,Sales Representative,Married,No,Y,3,0,202,1,3,72,3,1,Medium,2476,17434,1,18,3,1,80,1,1,3,1,0,0,0
26,18-29,Yes,Travel_Frequently,Research & Development,3,Below College,Technical Degree,510,Male,Research Scientist,Single,No,Y,2,1,575,1,3,73,3,1,Low,3102,6582,0,22,4,3,80,0,7,3,6,4,0,4
22,18-29,No,Travel_Rarely,Research & Development,11,Bachelor,Medical,511,Female,Research Scientist,Married,No,Y,1,0,253,1,1,43,3,1,Medium,2244,24440,1,13,3,4,80,1,2,3,2,1,1,2
36,30 - 39,No,Travel_Rarely,Sales,2,College,Medical,513,Male,Sales Executive,Married,No,Y,2,0,164,1,2,61,2,3,High,7596,3809,1,13,3,2,80,2,10,3,10,9,9,0
30,30 - 39,Yes,Travel_Frequently,Research & Development,4,Bachelor,Technical Degree,514,Male,Research Scientist,Single,Yes,Y,4,1,464,1,3,40,3,1,Very High,2285,3427,9,23,4,3,80,0,3,3,1,0,0,0
37,30 - 39,No,Travel_Rarely,Research & Development,14,Bachelor,Life Sciences,515,Female,Laboratory Technician,Divorced,No,Y,2,0,1107,1,4,95,3,1,Low,3034,26914,1,12,3,3,80,1,18,2,18,7,12,17
40,40 - 49,No,Travel_Rarely,Sales,2,College,Marketing,516,Female,Sales Executive,Divorced,No,Y,5,0,759,1,4,46,3,2,Medium,5715,22553,7,12,3,3,80,2,8,3,5,4,1,3
42,40 - 49,No,Travel_Rarely,Research & Development,1,Master,Life Sciences,517,Female,Laboratory Technician,Divorced,No,Y,5,0,201,1,2,95,3,1,Low,2576,20490,3,16,3,2,80,1,8,3,5,2,1,2
37,30 - 39,No,Travel_Rarely,Research & Development,10,Master,Life Sciences,518,Male,Manufacturing Director,Single,Yes,Y,2,0,1305,1,3,49,3,2,Medium,4197,21123,2,12,3,4,80,0,18,2,1,0,0,1
43,40 - 49,No,Travel_Rarely,Research & Development,12,Bachelor,Life Sciences,520,Male,Research Director,Divorced,No,Y,3,0,982,1,1,59,2,4,Medium,14336,4345,1,11,3,3,80,1,25,3,25,10,3,9
40,40 - 49,No,Travel_Rarely,Research & Development,2,Bachelor,Medical,521,Female,Laboratory Technician,Married,No,Y,3,0,555,1,2,78,2,2,High,3448,13436,6,22,4,2,80,1,20,3,1,0,0,0
54,50 - 59,No,Travel_Rarely,Research & Development,5,College,Medical,522,Male,Research Director,Married,No,Y,4,0,821,1,1,86,3,5,Low,19406,8509,4,11,3,3,80,1,24,2,4,2,1,2
34,30 - 39,No,Non-Travel,Sales,4,Master,Marketing,523,Female,Sales Executive,Married,No,Y,3,0,1381,1,3,72,3,2,High,6538,12740,9,15,3,1,80,1,6,3,3,2,1,2
31,30 - 39,No,Travel_Rarely,Research & Development,7,College,Medical,524,Female,Manufacturing Director,Married,No,Y,5,0,480,1,2,31,3,2,Low,4306,4156,1,12,3,2,80,1,13,1,13,10,3,12
43,40 - 49,No,Travel_Frequently,Research & Development,21,Bachelor,Medical,525,Male,Laboratory Technician,Married,No,Y,1,0,313,1,4,61,3,1,Very High,2258,15238,7,20,4,1,80,1,8,3,3,2,1,2
43,40 - 49,No,Travel_Rarely,Research & Development,8,Master,Other,526,Female,Healthcare Representative,Divorced,Yes,Y,3,0,1473,1,3,74,3,2,High,4522,2227,4,14,3,4,80,0,8,3,5,2,0,2
25,18-29,No,Travel_Rarely,Sales,4,College,Life Sciences,527,Female,Sales Executive,Single,Yes,Y,3,0,891,1,2,99,2,2,Very High,4487,12090,1,11,3,2,80,0,5,3,5,4,1,3
37,30 - 39,No,Non-Travel,Research & Development,25,Doctor,Medical,529,Female,Research Scientist,Married,Yes,Y,2,0,1063,1,2,72,3,2,High,4449,23866,3,15,3,1,80,2,15,3,13,11,10,7
31,30 - 39,No,Travel_Rarely,Research & Development,1,College,Life Sciences,530,Male,Laboratory Technician,Married,No,Y,3,0,329,1,4,98,2,1,Low,2218,16193,1,12,3,3,80,1,4,3,4,2,3,2
39,30 - 39,No,Travel_Frequently,Research & Development,1,Below College,Life Sciences,531,Male,Manager,Divorced,Yes,Y,3,0,1218,1,2,52,3,5,High,19197,8213,1,14,3,3,80,1,21,3,21,8,1,6
56,50 - 59,No,Travel_Frequently,Sales,6,Bachelor,Life Sciences,532,Female,Sales Executive,Married,No,Y,0,0,906,1,3,86,4,4,Low,13212,18256,9,11,3,4,80,3,36,2,7,7,7,7
30,30 - 39,No,Travel_Rarely,Sales,12,Bachelor,Technical Degree,533,Female,Sales Executive,Single,No,Y,6,0,1082,1,2,83,3,2,High,6577,19558,0,11,3,2,80,0,6,3,5,4,4,4
41,40 - 49,No,Travel_Rarely,Sales,1,Bachelor,Marketing,534,Male,Sales Executive,Married,No,Y,2,0,645,1,2,49,4,3,Low,8392,19566,1,16,3,3,80,1,10,3,10,7,0,7
28,18-29,No,Travel_Rarely,Research & Development,17,College,Medical,536,Male,Laboratory Technician,Divorced,No,Y,2,0,1300,1,3,79,3,2,Low,4558,13535,1,12,3,4,80,1,10,3,10,0,1,8
25,18-29,Yes,Travel_Rarely,Research & Development,3,Bachelor,Medical,538,Male,Laboratory Technician,Married,No,Y,5,1,688,1,1,91,3,1,Low,4031,9396,5,13,3,3,80,1,6,3,2,2,0,2
52,50 - 59,No,Travel_Rarely,Research & Development,3,Bachelor,Medical,543,Male,Manufacturing Director,Married,Yes,Y,4,0,319,1,4,39,2,3,High,7969,19609,2,14,3,3,80,0,28,3,5,4,0,4
45,40 - 49,No,Travel_Rarely,Research & Development,10,College,Life Sciences,544,Male,Research Scientist,Married,No,Y,3,0,192,1,1,69,3,1,Very High,2654,9655,3,21,4,4,80,2,8,2,2,2,0,2
52,50 - 59,No,Travel_Rarely,Research & Development,4,College,Life Sciences,546,Female,Manager,Married,No,Y,2,0,1490,1,4,30,3,4,Very High,16555,10310,2,13,3,4,80,0,31,1,5,2,1,4
42,40 - 49,No,Travel_Frequently,Research & Development,29,College,Life Sciences,547,Female,Research Scientist,Divorced,No,Y,3,0,532,1,1,92,3,2,High,4556,12932,2,11,3,2,80,1,19,3,5,4,0,2
30,30 - 39,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,548,Female,Manufacturing Director,Single,No,Y,2,0,317,1,3,43,1,2,Very High,6091,24793,2,20,4,3,80,0,11,3,5,4,0,2
60,60+,No,Travel_Rarely,Research & Development,7,Bachelor,Life Sciences,549,Female,Manager,Married,No,Y,5,0,422,1,1,41,3,5,Low,19566,3854,5,11,3,4,80,0,33,1,29,8,11,10
46,40 - 49,No,Travel_Rarely,Research & Development,18,Bachelor,Medical,550,Female,Manufacturing Director,Divorced,No,Y,5,0,1485,1,3,87,3,2,High,4810,26314,2,14,3,3,80,1,19,2,10,7,0,8
42,40 - 49,No,Travel_Frequently,Research & Development,28,Master,Technical Degree,551,Female,Healthcare Representative,Married,No,Y,4,0,1368,1,4,88,2,2,Very High,4523,4386,0,11,3,4,80,3,7,4,6,5,0,4
24,18-29,Yes,Travel_Rarely,Sales,1,Below College,Technical Degree,554,Female,Sales Representative,Single,Yes,Y,4,1,1448,1,1,62,3,1,Medium,3202,21972,1,16,3,2,80,0,6,3,5,3,1,4
34,30 - 39,Yes,Travel_Frequently,Sales,6,College,Marketing,555,Female,Sales Representative,Divorced,No,Y,3,1,296,1,4,33,1,1,High,2351,12253,0,16,3,4,80,1,3,2,2,2,1,0
38,30 - 39,No,Travel_Frequently,Research & Development,2,College,Life Sciences,556,Male,Laboratory Technician,Married,Yes,Y,3,0,1490,1,4,42,3,1,Very High,1702,12106,1,23,4,3,80,1,1,3,1,0,0,0
40,40 - 49,No,Travel_Rarely,Sales,2,Master,Life Sciences,558,Female,Manager,Married,No,Y,2,0,1398,1,3,79,3,5,High,18041,13022,0,14,3,4,80,0,21,3,20,15,1,12
26,18-29,No,Travel_Rarely,Research & Development,23,Bachelor,Life Sciences,560,Female,Research Scientist,Divorced,No,Y,3,0,1349,1,1,90,3,1,Very High,2886,3032,1,22,4,2,80,2,3,1,3,2,0,2
30,30 - 39,No,Non-Travel,Research & Development,3,Bachelor,Life Sciences,562,Male,Laboratory Technician,Married,No,Y,3,0,1400,1,3,53,3,1,Very High,2097,16734,4,15,3,3,80,1,9,1,5,3,1,4
29,18-29,No,Travel_Rarely,Research & Development,3,Master,Medical,564,Male,Research Director,Married,No,Y,2,0,986,1,2,93,2,3,High,11935,21526,1,18,3,3,80,0,10,3,10,2,0,7
29,18-29,Yes,Travel_Rarely,Research & Development,25,Doctor,Technical Degree,565,Female,Research Scientist,Married,No,Y,2,1,408,1,3,71,2,1,Medium,2546,18300,5,16,3,2,80,0,6,4,2,2,1,1
19,18-29,Yes,Travel_Rarely,Human Resources,2,College,Technical Degree,566,Male,Human Resources,Single,No,Y,3,1,489,1,1,52,2,1,Very High,2564,18437,1,12,3,3,80,0,1,4,1,0,0,0
30,30 - 39,No,Non-Travel,Sales,22,Master,Other,567,Female,Sales Executive,Married,No,Y,3,0,1398,1,3,69,3,3,Low,8412,2890,0,11,3,3,80,0,10,3,9,8,7,8
57,50 - 59,No,Travel_Rarely,Sales,29,Bachelor,Marketing,568,Male,Manager,Divorced,No,Y,3,0,210,1,1,56,2,4,Very High,14118,22102,3,12,3,3,80,1,32,2,1,0,0,0
50,50 - 59,No,Travel_Rarely,Research & Development,29,Master,Life Sciences,569,Male,Manager,Married,No,Y,2,0,1099,1,2,88,2,4,High,17046,9314,0,15,3,2,80,1,28,3,27,10,15,7
30,30 - 39,No,Non-Travel,Research & Development,2,Bachelor,Medical,571,Female,Laboratory Technician,Single,No,Y,2,0,1116,1,3,49,3,1,Very High,2564,7181,0,14,3,3,80,0,12,2,11,7,6,7
60,60+,No,Travel_Frequently,Sales,28,Bachelor,Marketing,573,Female,Sales Executive,Married,No,Y,5,0,1499,1,3,80,2,3,Low,10266,2845,4,19,3,4,80,0,22,4,18,13,13,11
47,40 - 49,No,Travel_Rarely,Research & Development,2,College,Medical,574,Female,Manufacturing Director,Divorced,No,Y,2,0,983,1,1,65,3,2,Very High,5070,7389,5,13,3,3,80,3,20,3,5,0,0,4
46,40 - 49,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,575,Male,Research Director,Married,No,Y,2,0,1009,1,1,51,3,4,High,17861,2288,6,13,3,3,80,0,26,1,3,2,0,1
35,30 - 39,No,Travel_Rarely,Research & Development,22,Bachelor,Life Sciences,577,Male,Laboratory Technician,Single,No,Y,2,0,144,1,4,46,1,1,High,4230,19225,0,15,3,3,80,0,6,3,5,4,4,3
54,50 - 59,No,Travel_Rarely,Research & Development,8,Master,Life Sciences,578,Female,Laboratory Technician,Single,No,Y,3,0,548,1,3,42,3,2,High,3780,23428,7,11,3,3,80,0,19,3,1,0,0,0
34,30 - 39,No,Travel_Rarely,Research & Development,2,Master,Life Sciences,579,Male,Research Scientist,Divorced,No,Y,3,0,1303,1,4,62,2,1,High,2768,8416,3,12,3,3,80,1,14,3,7,3,5,7
46,40 - 49,No,Travel_Rarely,Sales,10,Bachelor,Marketing,580,Female,Sales Executive,Married,Yes,Y,3,0,1125,1,3,94,2,3,Very High,9071,11563,2,19,3,3,80,1,15,3,3,2,1,2
31,30 - 39,No,Travel_Rarely,Research & Development,9,Below College,Life Sciences,581,Male,Manufacturing Director,Divorced,No,Y,6,0,1274,1,3,33,3,3,Medium,10648,14394,1,25,4,4,80,1,13,4,13,8,0,8
33,30 - 39,Yes,Travel_Rarely,Research & Development,15,Below College,Medical,582,Male,Manager,Married,Yes,Y,2,1,1277,1,2,56,3,3,High,13610,24619,7,12,3,4,80,0,15,4,7,6,7,7
33,30 - 39,Yes,Travel_Rarely,Research & Development,10,Below College,Medical,584,Male,Laboratory Technician,Divorced,No,Y,2,1,587,1,1,38,1,1,Very High,3408,6705,7,13,3,1,80,3,8,3,4,3,1,3
30,30 - 39,No,Travel_Rarely,Sales,7,Below College,Marketing,585,Male,Sales Representative,Single,No,Y,3,0,413,1,4,57,3,1,Medium,2983,18398,0,14,3,1,80,0,4,3,3,2,1,2
35,30 - 39,No,Travel_Rarely,Research & Development,16,Bachelor,Life Sciences,586,Male,Healthcare Representative,Married,Yes,Y,2,0,1276,1,4,72,3,3,High,7632,14295,4,12,3,3,80,0,10,3,8,7,0,0
31,30 - 39,Yes,Travel_Frequently,Research & Development,20,Bachelor,Life Sciences,587,Male,Healthcare Representative,Married,No,Y,2,1,534,1,1,66,3,3,High,9824,22908,3,12,3,1,80,0,12,3,1,0,0,0
34,30 - 39,Yes,Travel_Frequently,Human Resources,23,Bachelor,Human Resources,590,Female,Human Resources,Divorced,Yes,Y,2,1,988,1,2,43,3,3,Low,9950,11533,9,15,3,3,80,3,11,3,3,2,0,2
42,40 - 49,No,Travel_Frequently,Research & Development,5,College,Other,591,Male,Laboratory Technician,Married,No,Y,4,0,1474,1,2,97,3,1,High,2093,9260,4,17,3,4,80,1,8,3,2,2,2,0
36,30 - 39,No,Non-Travel,Sales,10,Master,Medical,592,Male,Sales Executive,Single,No,Y,3,0,635,1,2,32,3,3,Very High,9980,15318,1,14,3,4,80,0,10,2,10,3,9,7
22,18-29,Yes,Travel_Frequently,Research & Development,4,Below College,Technical Degree,593,Male,Laboratory Technician,Single,No,Y,3,1,1368,1,3,99,2,1,High,3894,9129,5,16,3,3,80,0,4,3,2,2,1,2
48,40 - 49,No,Travel_Rarely,Sales,2,Doctor,Marketing,595,Female,Sales Executive,Married,No,Y,2,0,163,1,2,37,3,2,Very High,4051,19658,2,14,3,1,80,1,14,3,9,7,6,7
55,50 - 59,No,Travel_Rarely,Sales,18,Doctor,Life Sciences,597,Female,Manager,Single,No,Y,2,0,1117,1,1,83,3,4,Medium,16835,9873,3,23,4,4,80,0,37,3,10,9,7,7
41,40 - 49,No,Non-Travel,Sales,10,College,Life Sciences,599,Male,Sales Executive,Single,No,Y,3,0,267,1,4,56,3,2,Very High,6230,13430,7,14,3,4,80,0,16,3,14,3,1,10
35,30 - 39,No,Travel_Rarely,Sales,1,Bachelor,Marketing,600,Male,Sales Executive,Married,No,Y,2,0,619,1,2,85,3,2,High,4717,18659,9,11,3,3,80,0,15,3,11,9,6,9
40,40 - 49,No,Travel_Rarely,Research & Development,6,Bachelor,Life Sciences,601,Female,Manufacturing Director,Single,No,Y,3,0,302,1,2,75,3,4,High,13237,20364,7,15,3,3,80,0,22,3,20,6,5,13
39,30 - 39,No,Travel_Frequently,Research & Development,8,Below College,Life Sciences,602,Female,Laboratory Technician,Married,No,Y,3,0,443,1,3,48,3,1,High,3755,17872,1,11,3,1,80,1,8,3,8,3,0,7
31,30 - 39,No,Travel_Rarely,Sales,2,Below College,Life Sciences,604,Male,Sales Executive,Single,Yes,Y,2,0,828,1,2,77,3,2,Very High,6582,8346,4,13,3,3,80,0,10,4,6,5,0,5
42,40 - 49,No,Travel_Rarely,Research & Development,24,Bachelor,Medical,605,Male,Manufacturing Director,Married,Yes,Y,5,0,319,1,4,56,3,3,Low,7406,6950,1,21,4,4,80,1,10,2,10,9,5,8
45,40 - 49,No,Travel_Rarely,Sales,2,Bachelor,Other,606,Male,Sales Executive,Married,No,Y,3,0,561,1,4,61,3,2,Medium,4805,16177,0,19,3,2,80,1,9,4,8,7,3,7
26,18-29,Yes,Travel_Frequently,Human Resources,17,Master,Life Sciences,608,Female,Human Resources,Divorced,Yes,Y,2,1,426,1,2,58,3,1,High,2741,22808,0,11,3,2,80,1,8,2,7,7,1,0
29,18-29,No,Travel_Rarely,Research & Development,19,Bachelor,Technical Degree,611,Male,Manufacturing Director,Divorced,No,Y,2,0,232,1,4,34,3,2,Very High,4262,22645,4,12,3,2,80,2,8,4,3,2,1,2
33,30 - 39,No,Travel_Rarely,Research & Development,1,Doctor,Medical,612,Female,Research Director,Divorced,No,Y,2,0,922,1,1,95,4,4,High,16184,22578,4,19,3,3,80,1,10,3,6,1,0,5
31,30 - 39,No,Travel_Rarely,Sales,7,Bachelor,Life Sciences,613,Male,Manager,Divorced,No,Y,3,0,688,1,3,44,2,3,Very High,11557,25291,9,21,4,3,80,1,10,2,5,4,0,1
18,18-29,Yes,Travel_Frequently,Sales,5,Bachelor,Marketing,614,Male,Sales Representative,Single,Yes,Y,3,1,1306,1,2,69,3,1,Medium,1878,8059,1,14,3,4,80,0,0,3,0,0,0,0
40,40 - 49,No,Non-Travel,Sales,28,Bachelor,Other,615,Male,Sales Executive,Divorced,No,Y,2,0,1094,1,3,58,1,3,Low,10932,11373,3,15,3,3,80,1,20,3,1,0,0,1
41,40 - 49,No,Non-Travel,Research & Development,2,Master,Other,616,Female,Healthcare Representative,Single,Yes,Y,3,0,509,1,1,62,2,2,High,6811,2112,2,17,3,1,80,0,10,3,8,7,0,7
26,18-29,No,Travel_Rarely,Sales,29,College,Medical,618,Male,Sales Executive,Divorced,No,Y,5,0,775,1,1,45,3,2,High,4306,4267,5,12,3,1,80,2,8,3,0,0,0,0
35,30 - 39,No,Travel_Rarely,Sales,1,Bachelor,Medical,620,Female,Sales Executive,Single,No,Y,3,0,195,1,1,80,3,2,High,4859,6698,1,16,3,4,80,0,5,3,5,4,0,3
34,30 - 39,No,Travel_Rarely,Sales,21,Master,Life Sciences,621,Male,Sales Executive,Single,No,Y,3,0,258,1,4,74,4,2,Very High,5337,19921,1,12,3,4,80,0,10,3,10,7,5,7
26,18-29,Yes,Travel_Rarely,Research & Development,24,Bachelor,Technical Degree,622,Male,Laboratory Technician,Single,Yes,Y,3,1,471,1,3,66,1,1,Very High,2340,23213,1,18,3,2,80,0,1,1,1,0,0,0
37,30 - 39,No,Travel_Rarely,Research & Development,1,Bachelor,Technical Degree,623,Female,Manufacturing Director,Single,No,Y,3,0,799,1,2,59,3,3,Very High,7491,23848,4,17,3,4,80,0,12,4,6,5,1,2
46,40 - 49,No,Travel_Frequently,Research & Development,18,Below College,Medical,624,Female,Healthcare Representative,Married,No,Y,3,0,1034,1,1,86,3,3,High,10527,8984,5,11,3,4,80,0,28,2,2,2,1,2
41,40 - 49,No,Travel_Rarely,Sales,2,Doctor,Life Sciences,625,Female,Manager,Married,No,Y,2,0,1276,1,2,91,3,4,Low,16595,5626,7,16,3,2,80,1,22,3,18,16,11,8
37,30 - 39,No,Non-Travel,Sales,9,Master,Medical,626,Male,Sales Executive,Divorced,No,Y,6,0,142,1,1,69,3,3,Medium,8834,24666,1,13,3,4,80,1,9,3,9,5,7,7
52,50 - 59,No,Travel_Rarely,Research & Development,6,College,Technical Degree,630,Male,Research Scientist,Divorced,Yes,Y,3,0,956,1,4,78,3,2,Low,5577,22087,3,12,3,2,80,2,18,3,10,9,6,9
32,30 - 39,Yes,Non-Travel,Sales,11,Master,Other,631,Male,Sales Executive,Married,No,Y,2,1,1474,1,4,60,4,2,High,4707,23914,8,12,3,4,80,0,6,3,4,2,1,2
24,18-29,No,Travel_Frequently,Sales,24,Bachelor,Medical,632,Male,Sales Representative,Married,No,Y,3,0,535,1,4,38,3,1,Very High,2400,5530,0,13,3,3,80,2,3,3,2,2,2,1
38,30 - 39,No,Travel_Rarely,Research & Development,10,Bachelor,Medical,634,Female,Healthcare Representative,Married,No,Y,4,0,1495,1,3,76,3,2,High,9824,22174,3,19,3,3,80,1,18,3,1,0,0,0
37,30 - 39,No,Travel_Rarely,Research & Development,1,Master,Life Sciences,635,Female,Manufacturing Director,Married,No,Y,2,0,446,1,2,65,3,2,Medium,6447,15701,6,12,3,2,80,1,8,2,6,5,4,3
49,40 - 49,No,Travel_Rarely,Research & Development,18,Master,Life Sciences,638,Male,Research Director,Divorced,Yes,Y,5,0,1245,1,4,58,2,5,High,19502,2125,1,17,3,3,80,1,31,3,31,9,0,9
24,18-29,No,Travel_Rarely,Research & Development,23,Bachelor,Medical,639,Male,Research Scientist,Married,Yes,Y,3,0,691,1,2,89,4,1,Very High,2725,21630,1,11,3,2,80,2,6,3,6,5,1,4
26,18-29,No,Travel_Rarely,Sales,28,College,Marketing,641,Male,Sales Executive,Married,No,Y,5,0,703,1,1,66,3,2,Medium,6272,7428,1,20,4,4,80,2,6,4,5,3,1,4
24,18-29,No,Travel_Rarely,Research & Development,17,College,Other,643,Male,Laboratory Technician,Married,No,Y,2,0,823,1,4,94,2,1,Medium,2127,9100,1,21,4,4,80,1,1,3,1,0,0,0
50,50 - 59,No,Travel_Frequently,Human Resources,3,Bachelor,Medical,644,Male,Manager,Married,No,Y,2,0,1246,1,1,99,3,5,Medium,18200,7999,1,11,3,3,80,1,32,3,32,5,10,7
25,18-29,No,Travel_Rarely,Sales,13,Below College,Medical,645,Male,Sales Representative,Married,No,Y,1,0,622,1,2,40,3,1,High,2096,26376,1,11,3,3,80,0,7,3,7,4,0,6
24,18-29,Yes,Travel_Frequently,Research & Development,7,Bachelor,Life Sciences,647,Female,Laboratory Technician,Married,Yes,Y,4,1,1287,1,1,55,3,1,High,2886,14168,1,16,3,4,80,1,6,3,6,3,1,2
30,30 - 39,Yes,Travel_Frequently,Sales,12,Master,Life Sciences,648,Male,Sales Representative,Married,No,Y,2,1,448,1,2,74,2,1,Low,2033,14470,1,18,3,3,80,1,1,4,1,0,0,0
34,30 - 39,No,Travel_Rarely,Research & Development,1,College,Life Sciences,649,Male,Research Scientist,Married,Yes,Y,3,0,254,1,2,83,2,1,Very High,3622,22794,1,13,3,4,80,1,6,3,6,5,1,3
31,30 - 39,Yes,Travel_Rarely,Sales,13,Master,Medical,650,Male,Sales Executive,Divorced,No,Y,2,1,1365,1,2,46,3,2,Low,4233,11512,2,17,3,3,80,0,9,1,3,1,1,2
35,30 - 39,No,Travel_Rarely,Research & Development,25,College,Other,652,Male,Laboratory Technician,Single,No,Y,3,0,538,1,1,54,2,2,Very High,3681,14004,4,14,3,4,80,0,9,3,3,2,0,2
31,30 - 39,No,Travel_Rarely,Sales,6,Master,Medical,653,Male,Sales Executive,Divorced,No,Y,4,0,525,1,1,66,4,2,Very High,5460,6219,4,22,4,4,80,2,13,4,7,7,5,7
27,18-29,No,Travel_Rarely,Research & Development,6,Master,Medical,655,Female,Research Scientist,Divorced,No,Y,5,0,798,1,1,66,2,1,High,2187,5013,0,12,3,3,80,2,6,2,5,3,0,3
37,30 - 39,No,Travel_Rarely,Sales,2,Bachelor,Marketing,656,Male,Sales Executive,Married,Yes,Y,3,0,558,1,4,75,3,2,High,9602,3010,4,11,3,3,80,1,17,2,3,0,1,0
20,18-29,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,657,Female,Research Scientist,Single,No,Y,0,0,959,1,4,83,2,1,Medium,2836,11757,1,13,3,4,80,0,1,4,1,0,0,0
42,40 - 49,No,Travel_Rarely,Research & Development,2,Master,Life Sciences,659,Female,Healthcare Representative,Married,No,Y,4,0,622,1,3,81,3,2,Very High,4089,5718,1,13,3,2,80,2,10,3,10,2,2,2
43,40 - 49,No,Travel_Rarely,Research & Development,6,Master,Other,661,Male,Research Director,Divorced,Yes,Y,3,0,782,1,2,50,2,4,Very High,16627,2671,4,14,3,3,80,1,21,2,1,0,0,0
38,30 - 39,No,Travel_Rarely,Research & Development,1,Below College,Life Sciences,662,Female,Research Scientist,Single,No,Y,3,0,362,1,3,43,3,1,Low,2619,14561,3,17,3,4,80,0,8,2,0,0,0,0
43,40 - 49,No,Travel_Frequently,Research & Development,9,Doctor,Medical,663,Male,Laboratory Technician,Divorced,Yes,Y,3,0,1001,1,4,72,3,2,High,5679,19627,3,13,3,2,80,1,10,3,8,7,4,7
48,40 - 49,No,Travel_Rarely,Research & Development,1,Master,Life Sciences,664,Female,Manager,Married,No,Y,3,0,1236,1,4,40,2,4,Low,15402,17997,7,11,3,1,80,1,21,1,3,2,0,2
44,40 - 49,No,Travel_Rarely,Human Resources,1,Master,Life Sciences,665,Female,Human Resources,Single,No,Y,1,0,1112,1,1,50,2,2,High,5985,26894,4,11,3,2,80,0,10,4,2,2,0,2
34,30 - 39,No,Travel_Rarely,Sales,14,Bachelor,Technical Degree,666,Female,Sales Representative,Divorced,Yes,Y,3,0,204,1,3,31,3,1,High,2579,2912,1,18,3,4,80,2,8,3,8,2,0,6
27,18-29,Yes,Travel_Rarely,Sales,2,Below College,Marketing,667,Male,Sales Representative,Divorced,No,Y,3,1,1420,1,3,85,3,1,Low,3041,16346,0,11,3,2,80,1,5,3,4,3,0,2
21,18-29,No,Travel_Rarely,Sales,22,Below College,Technical Degree,669,Male,Sales Representative,Single,No,Y,2,0,1343,1,3,49,3,1,High,3447,24444,1,11,3,3,80,0,3,3,3,2,1,2
44,40 - 49,No,Travel_Rarely,Research & Development,3,Master,Other,671,Male,Manager,Married,Yes,Y,2,0,1315,1,4,35,3,5,Very High,19513,9358,4,12,3,1,80,1,26,4,2,2,0,1
22,18-29,No,Travel_Rarely,Research & Development,6,Below College,Medical,675,Male,Research Scientist,Married,No,Y,3,0,604,1,1,69,3,1,High,2773,12145,0,20,4,4,80,0,3,3,2,2,2,2
33,30 - 39,No,Travel_Rarely,Sales,8,Master,Marketing,677,Male,Sales Executive,Divorced,No,Y,3,0,1216,1,3,39,3,2,High,7104,20431,0,12,3,4,80,0,6,3,5,0,1,2
32,30 - 39,No,Travel_Rarely,Research & Development,9,Master,Life Sciences,679,Female,Research Scientist,Married,Yes,Y,2,0,646,1,1,92,3,2,Very High,6322,18089,1,12,3,4,80,1,6,2,6,4,0,5
30,30 - 39,No,Travel_Frequently,Research & Development,3,Bachelor,Medical,680,Female,Research Scientist,Divorced,No,Y,2,0,160,1,3,71,3,1,High,2083,22653,1,20,4,3,80,1,1,3,1,0,0,0
53,50 - 59,No,Travel_Rarely,Sales,1,Below College,Medical,682,Female,Sales Executive,Single,No,Y,2,0,238,1,4,34,3,2,Low,8381,7507,7,20,4,4,80,0,18,4,14,7,8,10
34,30 - 39,No,Travel_Rarely,Research & Development,1,Doctor,Life Sciences,683,Male,Research Scientist,Married,No,Y,4,0,1397,1,2,42,3,1,Very High,2691,7660,1,12,3,4,80,1,10,2,10,9,8,8
45,40 - 49,Yes,Travel_Frequently,Sales,26,Master,Life Sciences,684,Female,Sales Executive,Married,No,Y,4,1,306,1,1,100,3,2,Low,4286,5630,2,14,3,4,80,2,5,3,1,1,0,0
26,18-29,No,Travel_Rarely,Research & Development,6,Bachelor,Life Sciences,686,Female,Laboratory Technician,Married,Yes,Y,2,0,991,1,3,71,3,1,Very High,2659,17759,1,13,3,3,80,1,3,3,3,2,0,2
37,30 - 39,No,Travel_Rarely,Research & Development,3,Bachelor,Other,689,Male,Manufacturing Director,Married,No,Y,2,0,482,1,3,36,3,3,High,9434,9606,1,15,3,3,80,1,10,3,10,7,7,8
29,18-29,No,Travel_Rarely,Sales,3,College,Medical,690,Female,Sales Executive,Married,No,Y,5,0,1176,1,2,62,3,2,High,5561,3487,1,14,3,1,80,1,6,2,6,0,1,2
35,30 - 39,No,Travel_Rarely,Research & Development,6,Master,Life Sciences,691,Male,Research Scientist,Single,No,Y,3,0,1017,1,2,82,1,2,Very High,6646,19368,1,13,3,2,80,0,17,3,17,11,11,8
